date,close,high,low,open,volume,ret
2016-04-08,1242.5,1242.800049,1232.0,1241.0,409,0.00509630258026106
2016-04-11,1256.699951,1258.699951,1241.5,1241.5,437,0.0114285319919518
2016-04-12,1259.400024,1261.699951,1253.699951,1260.0,185,0.00214854229750827
2016-04-13,1246.800049,1256.900024,1241.300049,1256.5,203,-0.0100047441320361
2016-04-14,1225.0,1243.699951,1224.5,1231.400024,264,-0.0174847996015759
2016-04-15,1233.099976,1235.0,1225.699951,1225.699951,97,0.00661222530612249
2016-04-18,1233.599976,1241.099976,1232.199951,1238.699951,304,0.000405482126130563
2016-04-19,1253.0,1256.199951,1228.800049,1231.599976,386,0.0157263492034958
2016-04-20,1253.199951,1256.099976,1243.0,1256.099976,180,0.000159577813248157
2016-04-21,1249.0,1270.599976,1247.599976,1247.699951,124,-0.00335138139500302
2016-04-22,1228.699951,1248.5,1228.0,1248.5,188,-0.0162530416333067
2016-04-25,1238.900024,1240.900024,1231.599976,1231.599976,442,0.00830151656773359
2016-04-26,1242.199951,1244.199951,1233.0,1239.800049,97,0.00266359426594054
2016-04-27,1249.199951,1249.5,1248.599976,1248.599976,547,0.00563516364202465
2016-04-28,1265.5,1270.099976,1238.5,1245.900024,887,0.0130483906815331
2016-04-29,1289.199951,1295.5,1267.199951,1267.300049,464,0.0187277368629002
2016-05-02,1294.699951,1304.400024,1290.400024,1292.099976,192,0.00426621176624598
2016-05-03,1290.699951,1301.5,1284.5,1292.699951,151,-0.00308951892437359
2016-05-04,1273.300049,1290.0,1273.0,1286.900024,109,-0.0134809813748882
2016-05-05,1271.400024,1286.0,1270.800049,1282.900024,330,-0.00149220523590821
2016-05-06,1292.900024,1295.599976,1276.900024,1278.599976,305,0.0169104920513987
2016-05-09,1265.599976,1286.5,1262.300049,1286.5,341,-0.0211153588778957
2016-05-10,1263.900024,1267.400024,1258.699951,1265.099976,23,-0.00134319850840448
2016-05-11,1274.599976,1279.199951,1266.900024,1266.900024,50,0.00846582150235009
2016-05-12,1270.300049,1281.199951,1264.0,1267.0,101,-0.00337355019689722
2016-05-13,1271.900024,1275.699951,1264.599976,1271.400024,66,0.00125952526039774
2016-05-16,1273.400024,1287.800049,1272.800049,1272.800049,44,0.00117933797601699
2016-05-17,1276.199951,1281.599976,1270.800049,1272.5,16,0.0021987803889032
2016-05-18,1273.699951,1276.400024,1256.800049,1276.400024,17,-0.0019589406801348
2016-05-19,1254.199951,1255.5,1247.5,1248.0,69,-0.0153097281543352
2016-05-20,1252.400024,1256.599976,1252.400024,1256.599976,44,-0.0014351196542185
2016-05-23,1251.099976,1251.599976,1247.5,1251.599976,56,-0.0010380453330302
2016-05-24,1228.900024,1240.0,1228.199951,1240.0,20,-0.0177443469154058
2016-05-25,1223.5,1223.5,1218.599976,1219.300049,5,-0.00439419309507638
2016-05-26,1220.099976,1232.599976,1220.099976,1232.599976,199778,-0.00277893257049455
2016-05-27,1213.800049,1223.199951,1206.400024,1220.300049,63739,-0.005163451458014
2016-05-31,1214.800049,1217.599976,1199.0,1212.5,6432,0.000823858922088361
2016-06-01,1211.900024,1219.800049,1205.400024,1215.699951,2717,-0.00238724471766949
2016-06-02,1209.800049,1217.0,1209.599976,1212.400024,1627,-0.00173279557588335
2016-06-03,1240.099976,1244.5,1206.400024,1209.099976,1622,0.0250454007048895
2016-06-06,1244.599976,1247.300049,1240.0,1244.400024,1135,0.00362873968800081
2016-06-07,1244.400024,1244.900024,1236.5,1244.0,281,-0.000160655635429552
2016-06-08,1259.800049,1264.0,1247.300049,1247.599976,406,0.0123754618313958
2016-06-09,1270.199951,1271.400024,1258.099976,1262.5,381,0.0082552005044414
2016-06-10,1273.400024,1278.0,1265.300049,1267.599976,397,0.00251934586950719
2016-06-13,1284.400024,1287.300049,1273.0,1276.199951,328,0.00863829102613556
2016-06-14,1285.599976,1289.699951,1277.800049,1281.800049,554,0.000934250994688579
2016-06-15,1285.800049,1296.199951,1278.800049,1284.599976,162,0.000155626169675571
2016-06-16,1296.099976,1316.400024,1281.099976,1296.300049,251,0.00801051999337732
2016-06-17,1292.5,1300.099976,1280.300049,1280.300049,129,-0.00277754499395189
2016-06-20,1290.0,1291.199951,1280.300049,1288.900024,153,-0.00193423597678921
2016-06-21,1270.5,1293.900024,1266.300049,1293.900024,134,-0.0151162790697674
2016-06-22,1268.0,1269.199951,1264.900024,1267.0,53,-0.00196772924045652
2016-06-23,1261.199951,1270.5,1255.199951,1263.400024,218,-0.00536281466876964
2016-06-24,1320.0,1355.599976,1253.699951,1253.699951,694,0.0466223051732422
2016-06-27,1322.5,1331.699951,1320.0,1330.0,92,0.00189393939393945
2016-06-28,1315.300049,1315.599976,1314.099976,1314.800049,1072,-0.00544419735349722
2016-06-29,1323.900024,1327.400024,1311.599976,1311.599976,414,0.00653841304616276
2016-06-30,1318.400024,1323.5,1314.5,1315.800049,560,-0.00415439225039249
2016-07-01,1336.699951,1344.199951,1321.900024,1324.5,137,0.0138804055422257
2016-07-05,1356.400024,1356.800049,1339.699951,1342.199951,90,0.0147378422399598
2016-07-06,1364.900024,1374.900024,1359.0,1359.0,130,0.00626658791625023
2016-07-07,1360.099976,1368.599976,1350.5,1366.800049,207,-0.00351677625877167
2016-07-08,1356.599976,1365.800049,1335.0,1361.300049,249,-0.00257334024098244
2016-07-11,1355.0,1371.800049,1353.0,1371.699951,26,-0.00117940146565354
2016-07-12,1334.099976,1356.0,1330.300049,1353.599976,252,-0.0154243719557196
2016-07-13,1342.400024,1342.400024,1336.699951,1341.5,7,0.00622145877319169
2016-07-14,1331.300049,1341.400024,1322.699951,1341.400024,20,-0.00826875357683998
2016-07-15,1326.5,1333.699951,1322.900024,1333.699951,52,-0.00360553505846073
2016-07-18,1328.400024,1335.0,1326.199951,1327.5,54,0.00143235883905013
2016-07-19,1331.5,1333.199951,1326.400024,1328.5,322,0.00233361633844709
2016-07-20,1318.800049,1337.5,1315.5,1331.0,751,-0.00953807810739771
2016-07-21,1330.5,1330.5,1312.800049,1312.800049,318,0.00887166406224482
2016-07-22,1323.099976,1330.699951,1320.400024,1330.699951,55,-0.00556183690341983
2016-07-25,1319.300049,1319.300049,1313.800049,1315.699951,548,-0.00287198780812314
2016-07-26,1320.699951,1320.699951,1315.199951,1315.199951,63,0.00106109448041125
2016-07-27,1326.599976,1326.599976,1326.0,1326.0,215388,0.00446734702725826
2016-07-28,1332.300049,1344.300049,1330.099976,1339.5,56908,0.00429675343217406
2016-07-29,1349.0,1353.300049,1325.800049,1333.199951,6076,0.0125346771641528
2016-08-01,1351.400024,1353.5,1345.599976,1348.800049,1257,0.00177911341734616
2016-08-02,1364.400024,1366.0,1346.599976,1352.099976,2941,0.00961965352162819
2016-08-03,1356.099976,1364.699951,1353.300049,1362.400024,715,-0.0060832951143367
2016-08-04,1358.800049,1361.599976,1347.0,1354.400024,381,0.00199105747937867
2016-08-05,1336.400024,1360.800049,1333.699951,1357.599976,1107,-0.0164851517458253
2016-08-08,1333.400024,1335.400024,1327.800049,1330.0,587,-0.00224483683487275
2016-08-09,1339.0,1339.400024,1328.5,1331.800049,620,0.00419977193580734
2016-08-10,1344.300049,1354.199951,1344.300049,1344.800049,110,0.00395821433905885
2016-08-11,1342.5,1350.400024,1334.800049,1341.599976,666,-0.0013390232346856
2016-08-12,1335.800049,1351.800049,1333.199951,1336.800049,113,-0.00499065251396658
2016-08-15,1340.300049,1340.599976,1333.599976,1336.5,62,0.00336876765603411
2016-08-16,1350.5,1355.0,1341.0,1342.199951,338,0.00761019967701282
2016-08-17,1342.699951,1347.300049,1338.599976,1345.5,135,-0.00577567493520914
2016-08-18,1351.199951,1354.400024,1348.199951,1351.300049,140,0.00633052827153935
2016-08-19,1340.400024,1350.099976,1338.599976,1350.099976,197,-0.00799284146806489
2016-08-22,1337.699951,1337.699951,1333.300049,1334.400024,117,-0.00201437850765063
2016-08-23,1340.599976,1341.199951,1334.300049,1337.0,551,0.00216791889528878
2016-08-24,1324.400024,1337.199951,1322.900024,1337.199951,262,-0.0120841058406821
2016-08-25,1320.099976,1324.0,1317.0,1321.400024,58,-0.00324678943074386
2016-08-26,1321.5,1340.5,1320.099976,1323.800049,141,0.00106054391747068
2016-08-29,1322.900024,1323.0,1315.0,1315.0,437,0.00105942035565643
2016-08-30,1311.699951,1322.099976,1308.0,1322.0,705,-0.0084663034218827
2016-08-31,1306.900024,1313.699951,1306.300049,1310.300049,214,-0.00365931781604534
2016-09-01,1312.199951,1313.099976,1301.5,1305.300049,225,0.00405534233887206
2016-09-02,1322.099976,1326.699951,1309.199951,1309.599976,55,0.00754460095235898
2016-09-06,1349.400024,1349.400024,1323.199951,1323.300049,46,0.0206490042323395
2016-09-07,1344.300049,1350.5,1343.900024,1348.400024,14,-0.00377943894271049
2016-09-08,1336.800049,1345.400024,1335.699951,1344.800049,30,-0.00557911160204083
