date,close,forecast_date,y,lag_1,lag_2,lag_3,lag_5,lag_10,lag_21,rolling_mean_7,rolling_mean_21,rolling_mean_63
2023-12-28,2073.899902,2023-12-28,2073.899902,2081.899902,2058.199951,2057.100098,2034.5,1982.300049,2039.699951,2054.728551,2031.252377,1972.293647
2023-12-29,2062.399902,2023-12-29,2062.399902,2073.899902,2081.899902,2058.199951,2039.099976,2030.199951,2047.099976,2058.157104,2031.980945,1975.695233
2024-01-02,2064.399902,2024-01-02,2064.399902,2062.399902,2073.899902,2081.899902,2057.100098,2021.099976,2038.099976,2062.428519,2033.233323,1979.415866
2024-01-03,2034.199951,2024-01-03,2034.199951,2064.399902,2062.399902,2073.899902,2058.199951,2026.300049,2071.0,2061.728516,2031.48094,1982.74285
2024-01-04,2042.300049,2024-01-04,2042.300049,2034.199951,2064.399902,2062.399902,2081.899902,2038.400024,2024.099976,2059.614223,2032.34761,1986.295232
2024-01-05,2042.400024,2024-01-05,2042.400024,2042.300049,2034.199951,2064.399902,2073.899902,2034.5,2018.5,2057.357091,2033.485706,1989.87936
2024-01-08,2026.599976,2024-01-08,2026.599976,2042.400024,2042.300049,2034.199951,2062.399902,2039.099976,2030.5,2049.457101,2033.299991,1992.99682
2024-01-09,2026.400024,2024-01-09,2026.400024,2026.599976,2042.400024,2042.300049,2064.399902,2057.100098,2029.900024,2042.671404,2033.133324,1995.804757
2024-01-10,2021.699951,2024-01-10,2021.699951,2026.400024,2026.599976,2042.400024,2034.199951,2058.199951,1998.300049,2036.857125,2034.247605,1998.35555
2024-01-11,2014.300049,2024-01-11,2014.300049,2021.699951,2026.400024,2026.599976,2042.300049,2081.899902,1978.0,2029.700003,2035.976179,2000.601582
2024-01-12,2046.699951,2024-01-12,2046.699951,2014.300049,2021.699951,2026.400024,2042.400024,2073.899902,1977.800049,2031.485718,2039.257127,2003.417453
2024-01-16,2026.0,2024-01-16,2026.0,2046.699951,2014.300049,2021.699951,2026.599976,2062.399902,1982.300049,2029.157139,2041.338077,2004.982532
2024-01-17,2002.599976,2024-01-17,2002.599976,2026.0,2046.699951,2014.300049,2026.400024,2064.399902,2030.199951,2023.471418,2040.023792,2006.276183
2024-01-18,2018.599976,2024-01-18,2018.599976,2002.599976,2026.0,2046.699951,2021.699951,2034.199951,2021.099976,2022.328561,2039.904744,2007.798406
2024-01-19,2026.5,2024-01-19,2026.5,2018.599976,2002.599976,2026.0,2014.300049,2042.300049,2026.300049,2022.342843,2039.914266,2008.928564
2024-01-22,2019.800049,2024-01-22,2019.800049,2026.5,2018.599976,2002.599976,2046.699951,2042.400024,2038.400024,2022.071429,2039.028553,2009.744437
2024-01-23,2023.699951,2024-01-23,2023.699951,2019.800049,2026.5,2018.599976,2026.0,2026.599976,2034.5,2023.414272,2038.514265,2010.398405
2024-01-24,2013.900024,2024-01-24,2013.900024,2023.699951,2019.800049,2026.5,2002.599976,2026.400024,2039.099976,2018.728568,2037.314267,2010.99523
2024-01-25,2016.900024,2024-01-25,2016.900024,2013.900024,2023.699951,2019.800049,2018.599976,2021.699951,2057.100098,2017.428571,2035.399978,2011.660309
2024-01-26,2016.800049,2024-01-26,2016.800049,2016.900024,2013.900024,2023.699951,2026.5,2014.300049,2058.199951,2019.457153,2033.428554,2012.179358
2024-01-29,2025.199951,2024-01-29,2025.199951,2016.800049,2016.900024,2013.900024,2019.800049,2046.699951,2081.899902,2020.400007,2030.728556,2012.782533
2024-01-30,2031.5,2024-01-30,2031.5,2025.199951,2016.800049,2016.900024,2023.699951,2026.0,2073.899902,2021.114293,2028.709513,2013.463485
2024-01-31,2048.399902,2024-01-31,2048.399902,2031.5,2025.199951,2016.800049,2013.900024,2002.599976,2062.399902,2025.199986,2028.042847,2014.292056
2024-02-01,2053.0,2024-02-01,2053.0,2048.399902,2031.5,2025.199951,2016.900024,2018.599976,2064.399902,2029.385707,2027.499994,2015.368247
2024-02-02,2036.099976,2024-02-02,2036.099976,2053.0,2048.399902,2031.5,2016.800049,2026.5,2034.199951,2032.557129,2027.590472,2016.27777
2024-02-05,2025.699951,2024-02-05,2025.699951,2036.099976,2053.0,2048.399902,2025.199951,2019.800049,2042.300049,2033.814261,2026.799991,2016.914278
2024-02-06,2034.5,2024-02-06,2034.5,2025.699951,2036.099976,2053.0,2031.5,2023.699951,2042.400024,2036.342826,2026.423799,2017.596817
2024-02-07,2035.199951,2024-02-07,2035.199951,2034.5,2025.699951,2036.099976,2048.399902,2013.900024,2026.599976,2037.771397,2026.833322,2018.447611
2024-02-08,2032.199951,2024-02-08,2032.199951,2035.199951,2034.5,2025.699951,2053.0,2016.900024,2026.400024,2037.87139,2027.109509,2019.485704
2024-02-09,2023.300049,2024-02-09,2023.300049,2032.199951,2035.199951,2034.5,2036.099976,2016.800049,2021.699951,2034.285697,2027.185704,2020.625388
2024-02-12,2018.199951,2024-02-12,2018.199951,2023.300049,2032.199951,2035.199951,2025.699951,2025.199951,2014.300049,2029.314261,2027.371413,2021.48253
2024-02-13,1992.900024,2024-02-13,1992.900024,2018.199951,2023.300049,2032.199951,2034.5,2031.5,2046.699951,2023.14284,2024.809512,2022.439674
2024-02-14,1990.300049,2024-02-14,1990.300049,1992.900024,2018.199951,2023.300049,2035.199951,2048.399902,2026.0,2018.085711,2023.109515,2023.150786
2024-02-15,2002.099976,2024-02-15,2002.099976,1990.300049,1992.900024,2018.199951,2032.199951,2053.0,2002.599976,2013.457136,2023.085705,2023.790467
2024-02-16,2011.5,2024-02-16,2011.5,2002.099976,1990.300049,1992.900024,2023.300049,2036.099976,2018.599976,2010.071429,2022.747611,2024.606341
2024-02-20,2027.5,2024-02-20,2027.5,2011.5,2002.099976,1990.300049,2018.199951,2025.699951,2026.5,2009.400007,2022.79523,2025.298404
2024-02-21,2022.300049,2024-02-21,2022.300049,2027.5,2011.5,2002.099976,1992.900024,2034.5,2019.800049,2009.25715,2022.914278,2025.944437
