date,yhat,yhat_lower,yhat_upper
2016-11-22,1220.765652,1136.180458,1308.652911
2016-11-23,1218.551551,1134.144241,1309.408852
2016-11-25,1212.831903,1126.860252,1288.63188
2016-11-28,1207.663216,1125.823649,1288.329241
2016-11-29,1206.375966,1120.912174,1287.071244
2016-11-30,1205.304908,1122.438232,1290.334087
2016-12-01,1204.761043,1123.094767,1283.02407
2016-12-02,1204.690403,1123.533458,1282.279624
2016-12-05,1201.194981,1123.555866,1290.590913
2016-12-06,1198.483339,1112.153325,1276.627518
2016-12-07,1196.274403,1114.54168,1271.06858
2016-12-08,1195.195841,1112.093012,1277.390862
2016-12-09,1195.015067,1115.854553,1273.465611
2016-12-12,1193.296646,1118.035369,1274.33998
2016-12-13,1192.648507,1109.817868,1271.634359
2016-12-14,1192.961895,1112.765375,1276.154599
2016-12-15,1194.13378,1115.451432,1272.297928
2016-12-16,1195.450518,1119.71452,1270.181457
2016-12-19,1197.018829,1114.885239,1276.12719
2016-12-20,1198.201742,1117.787916,1288.117551
2016-12-21,1200.103412,1117.496613,1284.039887
2016-12-22,1202.060386,1122.806835,1282.932308
2016-12-23,1203.354711,1124.166548,1284.512209
2016-12-27,1205.895502,1129.300909,1288.503013
2016-12-28,1207.577016,1126.285312,1288.197844
2016-12-29,1209.295266,1131.476891,1288.714048
2016-12-30,1210.990658,1132.463704,1296.165288
2017-01-03,1219.29425,1143.781726,1296.378143
2017-01-04,1219.586463,1141.692196,1306.37947
2017-01-05,1218.716948,1133.848427,1295.145057
2017-01-06,1218.42485,1137.473565,1300.459549
2017-01-09,1221.302266,1140.223363,1303.227448
2017-01-10,1222.092155,1141.961501,1302.92879
2017-01-11,1222.028854,1146.757315,1305.668697
2017-01-12,1221.627235,1134.703177,1300.11085
2017-01-13,1221.667895,1143.78737,1301.570598
2017-01-17,1223.939667,1140.779544,1307.130086
2017-01-18,1223.323996,1139.676043,1305.546072
2017-01-19,1223.030923,1141.077351,1302.985435
2017-01-20,1223.428909,1144.211871,1306.927174
2017-01-23,1223.889059,1143.100617,1305.918537
2017-01-24,1222.677447,1141.414405,1304.129389
2017-01-25,1221.540312,1136.809976,1301.754314
2017-01-26,1221.034828,1142.135066,1304.59006
2017-01-27,1221.171897,1132.999469,1301.616594
2017-01-30,1222.709685,1147.252313,1300.892777
2017-01-31,1223.867852,1151.772932,1303.896304
2017-02-01,1225.454712,1148.262132,1311.358086
2017-02-02,1226.8481,1145.041484,1309.033198
2017-02-03,1227.279626,1147.964441,1306.851702
2017-02-06,1224.11492,1143.165035,1306.452072
2017-02-07,1224.105354,1138.54337,1303.938673
2017-02-08,1224.847867,1142.534346,1305.545124
2017-02-09,1225.52065,1141.890193,1309.294404
2017-02-10,1225.502969,1145.961367,1304.65089
2017-02-13,1224.942409,1145.007007,1303.62251
2017-02-14,1226.0227,1139.989737,1307.715062
2017-02-15,1227.075342,1144.385194,1311.094114
2017-02-16,1227.454278,1149.048863,1302.883666
2017-02-17,1227.176089,1149.123447,1304.126062
2017-02-21,1228.893091,1146.654302,1305.962689
2017-02-22,1228.960881,1148.384421,1303.581258
2017-02-23,1228.138121,1148.709835,1309.792105
2017-02-24,1226.959756,1144.817371,1309.873834
2017-02-27,1226.152937,1145.678818,1307.109693
2017-02-28,1226.411579,1146.058695,1312.837777
2017-03-01,1226.672506,1138.666107,1309.64667
2017-03-02,1227.22512,1148.782113,1308.45822
2017-03-03,1228.243696,1152.081218,1305.691047
2017-03-06,1229.099122,1154.469464,1308.523243
2017-03-07,1227.314392,1145.928821,1309.523762
2017-03-08,1225.392205,1139.701605,1304.292594
2017-03-09,1224.250799,1146.044805,1307.520012
2017-03-10,1224.106538,1144.95898,1297.857893
2017-03-13,1223.415819,1142.892051,1303.869035
2017-03-14,1222.481725,1143.434454,1303.92603
2017-03-15,1222.200724,1144.125621,1304.410043
2017-03-16,1222.878225,1143.673634,1301.589748
2017-03-17,1224.064357,1139.46049,1303.3567
2017-03-20,1225.465585,1139.279022,1300.731932
2017-03-21,1226.119207,1148.907678,1306.968375
2017-03-22,1227.655495,1151.138751,1308.584911
2017-03-23,1229.703483,1150.630859,1313.522583
2017-03-24,1231.493017,1152.958018,1306.497163
2017-03-27,1233.836429,1150.024062,1317.899265
2017-03-28,1235.290392,1156.342919,1314.948963
2017-03-29,1237.449718,1150.29686,1322.004643
2017-03-30,1239.926406,1157.831826,1316.021388
2017-03-31,1242.456939,1162.784167,1325.902932
2017-04-03,1251.868015,1170.767482,1330.293021
2017-04-04,1255.104993,1179.550196,1341.294886
2017-04-05,1257.258162,1171.275842,1337.501395
2017-04-06,1258.063414,1181.509882,1338.243992
2017-04-07,1258.683456,1173.948734,1342.384111
2017-04-10,1263.256655,1180.919866,1341.15575
2017-04-11,1265.109578,1182.213716,1341.676441
2017-04-12,1266.041883,1188.073633,1349.020293
2017-04-13,1266.191014,1189.938469,1352.905295
2017-04-17,1268.988156,1197.910808,1344.84777
2017-04-18,1269.035896,1188.844406,1352.832567
2017-04-19,1268.264071,1189.558751,1353.047126
2017-04-20,1267.330835,1187.174928,1345.819804
2017-04-21,1266.881496,1188.383289,1348.361147
2017-04-24,1266.007933,1176.57868,1345.189275
2017-04-25,1264.252378,1183.199793,1343.100599
2017-04-26,1262.163537,1183.424814,1346.040171
2017-04-27,1260.469558,1181.220942,1342.71328
2017-04-28,1259.48655,1175.851642,1344.352313
2017-05-01,1258.457893,1179.511789,1341.047185
2017-05-02,1258.672036,1177.975736,1341.955715
2017-05-03,1259.489381,1183.295336,1338.367842
2017-05-04,1260.5576,1180.013044,1339.882892
2017-05-05,1261.104759,1185.09206,1343.75391
2017-05-08,1257.578572,1176.878371,1337.384746
2017-05-09,1256.934569,1175.541924,1336.261809
2017-05-10,1257.347272,1184.043199,1333.895414
2017-05-11,1258.19646,1177.627908,1338.467816
2017-05-12,1258.65161,1176.318975,1336.799394
2017-05-15,1258.223819,1180.122835,1340.336223
2017-05-16,1259.26918,1174.003905,1343.164465
2017-05-17,1260.700598,1175.943144,1342.655567
2017-05-18,1261.73532,1178.650239,1342.386055
2017-05-19,1262.010638,1179.732383,1344.193518
2017-05-22,1263.03381,1177.925433,1350.180733
2017-05-23,1264.256987,1182.388759,1342.705536
2017-05-24,1265.02556,1185.442564,1342.065469
2017-05-25,1264.872359,1182.616055,1339.265204
2017-05-26,1264.036199,1186.843634,1341.462383
2017-05-30,1263.91284,1182.290673,1348.509147
2017-05-31,1264.479612,1177.705688,1348.393144
2017-06-01,1265.197826,1177.328205,1346.997406
2017-06-02,1266.368521,1184.211174,1349.360448
2017-06-05,1269.592006,1190.615837,1350.304534
2017-06-06,1268.697622,1192.535378,1349.860214
2017-06-07,1267.162223,1189.267199,1351.700061
2017-06-08,1265.987545,1190.347092,1347.9855
2017-06-09,1265.790216,1181.612694,1339.192591
2017-06-12,1266.520035,1180.243415,1345.571639
2017-06-13,1265.693553,1180.298338,1350.049542
2017-06-14,1265.028527,1187.155787,1348.375317
2017-06-15,1265.129289,1190.301542,1348.176164
2017-06-16,1265.892207,1189.654262,1347.423053
2017-06-19,1265.961336,1188.128471,1344.743289
2017-06-20,1265.257401,1180.460042,1347.60166
2017-06-21,1265.133881,1184.30215,1350.533576
2017-06-22,1265.586482,1184.823808,1346.693092
2017-06-23,1265.970687,1181.694148,1347.529501
2017-06-26,1262.715999,1179.830034,1335.221253
2017-06-27,1261.479418,1181.662415,1341.178586
2017-06-28,1260.918111,1182.988436,1341.721531
2017-06-29,1260.809707,1178.799827,1348.410002
2017-06-30,1260.803426,1178.948597,1346.233002
2017-07-03,1262.310179,1181.357404,1338.851307
2017-07-05,1264.193451,1179.520839,1349.195277
2017-07-06,1263.753037,1182.236399,1343.884908
2017-07-07,1262.398485,1181.438101,1353.56245
2017-07-10,1261.196782,1182.548462,1338.513766
2017-07-11,1262.344698,1183.834985,1342.87861
2017-07-12,1263.18459,1177.017719,1345.029177
2017-07-13,1263.450933,1183.619276,1345.141198
2017-07-14,1263.648756,1184.775864,1348.533333
2017-07-17,1268.808035,1185.86173,1343.429019
2017-07-18,1270.916654,1182.468013,1351.46111
2017-07-19,1272.378542,1195.463081,1349.678072
2017-07-20,1273.556835,1193.648748,1353.860058
2017-07-21,1275.157744,1196.046115,1358.586953
2017-07-24,1282.537611,1205.786762,1362.973299
2017-07-25,1283.919561,1207.09751,1358.284662
2017-07-26,1284.599485,1205.305931,1364.498267
2017-07-27,1285.257849,1206.965698,1372.441385
2017-07-28,1286.424486,1206.375724,1367.057309
2017-07-31,1291.489408,1210.162038,1370.105349
2017-08-01,1293.121987,1209.893532,1375.471221
2017-08-02,1295.045255,1204.055477,1375.809934
2017-08-03,1297.186302,1223.176779,1377.680732
2017-08-04,1298.923407,1215.160624,1378.941302
2017-08-07,1297.033843,1215.697042,1377.571386
2017-08-08,1295.619029,1215.798645,1377.4936
2017-08-09,1295.053575,1211.534112,1368.090673
2017-08-10,1295.115677,1213.214882,1375.54694
2017-08-11,1295.008175,1209.808637,1378.691956
2017-08-14,1291.358302,1218.075469,1372.23347
2017-08-15,1290.842933,1211.935803,1374.295928
2017-08-16,1291.044133,1215.683891,1370.020773
2017-08-17,1291.275113,1216.741978,1371.373221
2017-08-18,1290.911618,1213.181061,1371.380934
2017-08-21,1289.052664,1205.840018,1371.588675
2017-08-22,1289.670697,1211.723901,1362.930435
2017-08-23,1290.366983,1208.460907,1374.648143
2017-08-24,1290.437962,1211.306883,1369.771376
2017-08-25,1289.749856,1207.360118,1367.667716
2017-08-28,1288.625912,1203.884733,1366.663462
2017-08-29,1289.365458,1209.052361,1375.347216
2017-08-30,1290.193055,1205.709776,1370.838018
2017-08-31,1291.040428,1211.772994,1371.663465
2017-09-01,1292.167721,1210.119986,1377.842859
2017-09-05,1295.599977,1215.250671,1371.665254
2017-09-06,1293.864068,1217.749066,1375.352111
2017-09-07,1291.796033,1216.664658,1368.592051
2017-09-08,1290.288733,1206.561311,1372.511412
2017-09-11,1287.633678,1204.46254,1369.051373
2017-09-12,1285.403273,1199.25888,1367.501301
2017-09-13,1282.749951,1198.390848,1368.631716
2017-09-14,1280.459703,1195.350602,1356.771273
2017-09-15,1278.843097,1198.634611,1351.959767
2017-09-18,1272.837043,1187.939442,1345.603779
2017-09-19,1269.685753,1184.962533,1352.292016
2017-09-20,1266.872788,1187.34388,1349.204654
2017-09-21,1264.789757,1186.873403,1345.180219
2017-09-22,1263.101526,1184.119898,1337.402093
2017-09-25,1254.982502,1163.123161,1333.955197
2017-09-26,1251.914507,1175.115735,1333.606629
2017-09-27,1249.653177,1165.893573,1330.250126
2017-09-28,1248.226584,1163.017208,1329.519345
2017-09-29,1247.286587,1160.374693,1326.532829
2017-10-02,1246.829356,1167.192699,1321.715743
2017-10-03,1247.964062,1163.638435,1324.702215
2017-10-04,1249.133883,1166.812665,1328.389888
2017-10-05,1249.564524,1172.306972,1326.471598
2017-10-06,1248.733315,1165.867602,1327.081274
2017-10-09,1247.300048,1164.938305,1327.084861
2017-10-10,1248.695349,1171.338446,1328.144186
2017-10-11,1250.154728,1170.796489,1333.023018
2017-10-12,1251.037675,1173.54377,1334.178968
2017-10-13,1251.463501,1175.300867,1331.16549
2017-10-16,1255.910004,1179.202541,1332.885888
2017-10-17,1258.148222,1178.408912,1341.288399
2017-10-18,1259.720714,1179.10662,1337.009435
2017-10-19,1260.631854,1180.440585,1345.102929
2017-10-20,1261.506862,1177.745131,1340.436274
2017-10-23,1266.895011,1184.46785,1346.405257
2017-10-24,1268.02262,1189.052863,1347.278989
2017-10-25,1268.225889,1189.375576,1352.196168
2017-10-26,1268.040742,1188.706074,1351.705511
2017-10-27,1268.171919,1191.489664,1351.756087
2017-10-30,1271.180708,1191.057729,1353.648249
2017-10-31,1272.303733,1191.12872,1350.543303
2017-11-01,1273.696927,1194.931897,1353.679523
2017-11-02,1275.533771,1197.479847,1359.299963
2017-11-03,1277.458401,1197.016342,1358.31609
2017-11-06,1277.578014,1194.933374,1359.007389
2017-11-07,1276.288355,1200.869244,1354.396857
2017-11-08,1275.713983,1194.133888,1359.045931
2017-11-09,1276.057657,1194.89773,1363.103925
2017-11-10,1276.708486,1195.019799,1363.671413
2017-11-13,1275.283472,1199.723189,1353.936106
2017-11-14,1274.85882,1198.017477,1357.445309
2017-11-15,1275.21917,1197.079341,1355.60824
2017-11-16,1275.901415,1195.436487,1354.400027
2017-11-17,1276.133542,1199.381921,1354.160204
2017-11-20,1273.896071,1193.680119,1356.202721
2017-11-21,1273.890451,1193.088115,1355.491918
2017-11-22,1274.193161,1196.352451,1353.373706
2017-11-24,1272.988431,1198.311181,1354.012806
2017-11-27,1268.554348,1186.10128,1344.46077
2017-11-28,1268.139551,1189.318222,1348.016211
2017-11-29,1268.007407,1188.738457,1352.479307
2017-11-30,1267.932635,1184.698072,1347.647437
2017-12-01,1268.085932,1188.975385,1348.205615
2017-12-04,1271.013005,1186.255655,1353.415006
2017-12-05,1271.194794,1185.335629,1348.155973
2017-12-06,1270.27623,1186.000866,1347.60425
2017-12-07,1268.856897,1186.286616,1346.525608
2017-12-08,1267.948749,1186.488967,1356.416482
2017-12-11,1270.532933,1193.90564,1350.889514
2017-12-12,1271.230649,1190.511774,1355.072452
2017-12-13,1271.547175,1187.635024,1356.489378
2017-12-14,1272.21603,1186.450978,1356.599347
2017-12-15,1273.842518,1188.106749,1353.375163
2017-12-18,1281.03933,1195.916775,1366.251941
2017-12-19,1282.633117,1202.971688,1366.304295
2017-12-20,1284.344565,1205.735776,1369.528984
2017-12-21,1286.782074,1203.291375,1369.426423
2017-12-22,1289.924342,1209.920624,1374.755105
2017-12-26,1298.674102,1215.76854,1381.258173
2017-12-27,1300.433824,1221.330546,1383.669948
2017-12-28,1302.850216,1223.027645,1386.179044
2017-12-29,1305.671698,1229.438633,1385.663732
2018-01-02,1317.831099,1231.276031,1394.845049
2018-01-03,1321.306844,1236.590588,1409.149507
2018-01-04,1324.025795,1245.707011,1408.133459
2018-01-05,1325.403843,1243.385579,1409.702809
2018-01-08,1324.073281,1247.528572,1404.433578
2018-01-09,1324.784949,1243.493524,1396.990026
2018-01-10,1325.721597,1244.550948,1409.509589
2018-01-11,1326.069691,1245.240484,1405.091801
2018-01-12,1325.570027,1246.603335,1410.456538
